g_id,designation,source_id,dist50,av50,ag50,teff50,logg50,met50,mass50,fidelity
4420798091038241408,Gaia DR3 4420798091038241408,4420798091038241408,0.13649763,0.077770665,0.06275701,3385.322,4.795,0.10140351,0.455,1
4420798224181285504,Gaia DR3 4420798224181285504,4420798224181285504,1.7768564,0.22088845,0.18741249,5250.0806,4.653387,-1.044173,0.62583065,1
4420798228477194368,Gaia DR3 4420798228477194368,4420798228477194368,1.0096564,0.17978089,0.15584226,6004.827,4.1702657,-0.413635,0.91759247,1
4420798258541027072,Gaia DR3 4420798258541027072,4420798258541027072,4.983747,0.1953742,0.16925816,6000.9326,4.219,-0.40279955,0.90781057,0.9980469
4420798395979987968,Gaia DR3 4420798395979987968,4420798395979987968,6.502977,0.22715889,0.19189185,5098.2803,3.407465,-0.5221206,0.8641116,0.9975586
4420798499059200128,Gaia DR3 4420798499059200128,4420798499059200128,1.435476,0.22575669,0.19129987,5209.2993,4.625421,-0.56629467,0.69271296,1
4420798606434317056,Gaia DR3 4420798606434317056,4420798606434317056,0.38491613,0.273803,0.23216225,5287.6084,4.589864,-0.36154777,0.749,1
4420798877016321536,Gaia DR3 4420798877016321536,4420798877016321536,6.903961,0.19429855,0.16770104,5857.4243,4.1837544,-0.17974898,0.9490025,0.98583984
4420798984391432704,Gaia DR3 4420798984391432704,4420798984391432704,6.02158,0.14022976,0.122424126,6230.7197,4.3032627,-1.421339,0.8235958,0.99853516
4420799117534438528,Gaia DR3 4420799117534438528,4420799117534438528,0.34667715,0.19777603,0.17126946,5988.296,4.2837267,-0.103967406,1.0397148,1
4420799117534494464,Gaia DR3 4420799117534494464,4420799117534494464,1.8467444,0.34155637,0.2843063,4697.8037,4.64181,-0.15583488,0.7,1
4420799220613714176,Gaia DR3 4420799220613714176,4420799220613714176,2.0410535,0.48210654,0.40489218,5174.1646,4.6414375,-0.7347612,0.658825,0.99902344
4420799254973446016,Gaia DR3 4420799254973446016,4420799254973446016,2.9500675,0.26812053,0.23204526,6050.934,4.1920867,-0.51917875,0.8955645,0.98095703
4420799323692924800,Gaia DR3 4420799323692924800,4420799323692924800,4.4710197,0.3545411,0.3074725,6238.1226,4.3478794,-1.4967444,0.7744946,0.9995117
4420799327988823424,Gaia DR3 4420799327988823424,4420799327988823424,1.2176774,0.14951912,0.12973604,6005.193,4.24997,-0.4034079,0.8991255,1
4420799362348561920,Gaia DR3 4420799362348561920,4420799362348561920,4.2797484,0.12978795,0.112380736,5901.457,4.412324,-1.0784862,0.80554634,0.9741211
4420799534147253888,Gaia DR3 4420799534147253888,4420799534147253888,0.742301,0.2613429,0.22376038,5633.5107,4.5723615,-0.5900324,0.72824085,1
4420799534147408256,Gaia DR3 4420799534147408256,4420799534147408256,0.7239228,0.27066866,0.22485484,4551.9766,4.63,0.18322337,0.72992253,1
4420799564211101184,Gaia DR3 4420799564211101184,4420799564211101184,4.7484627,0.32514104,0.2804768,5994.8296,4.2010226,-0.75261605,0.82769984,1
4420799701650057344,Gaia DR3 4420799701650057344,4420799701650057344,1.2630779,0.4147085,0.3437851,4632.3354,4.68075,-0.6459136,0.5916472,0.99609375
4420799873448738944,Gaia DR3 4420799873448738944,4420799873448738944,4.864185,0.25765425,0.2223491,5928.02,4.119734,-0.5201463,0.89331883,1
4420800015183755008,Gaia DR3 4420800015183755008,4420800015183755008,4.386825,0.31753772,0.27577555,6247.954,4.274555,-0.9703009,0.8313985,0.9995117
4420800015183767936,Gaia DR3 4420800015183767936,4420800015183767936,1.261489,0.26743063,0.2174758,3822.4875,4.5128465,0.067111306,0.68629473,0.9980469
4420800152622544000,Gaia DR3 4420800152622544000,4420800152622544000,0.29768142,0.20408177,0.1673363,4034.5955,4.670091,-0.11329732,0.6,1
4420800702378461696,Gaia DR3 4420800702378461696,4420800702378461696,1.9831264,0.10650019,0.09186825,5730.3906,4.076394,-0.065197565,0.996,1
4420800736738200832,Gaia DR3 4420800736738200832,4420800736738200832,1.5078844,0.26222932,0.2267983,6018.4966,4.05777,-0.70718455,0.8487665,1
4420801183414695680,Gaia DR3 4420801183414695680,4420801183414695680,4.5380235,-0.018423222,-0.016055632,5967.671,4.0038915,-0.59015536,0.90434897,1
4420801286493910912,Gaia DR3 4420801286493910912,4420801286493910912,0.36707318,0.13233179,0.111790724,4993.369,4.7182794,-0.9756326,0.6071634,0.38671875
4420801423932864512,Gaia DR3 4420801423932864512,4420801423932864512,0.5552935,0.17052947,0.14397639,5015.3354,3.523,-0.10094365,1.085,1
4420801561371924224,Gaia DR3 4420801561371924224,4420801561371924224,3.0968974,0.22641803,0.19621745,6051.6807,4.3505125,-1.0605617,0.8113594,1
4420807574326139776,Gaia DR3 4420807574326139776,4420807574326139776,1.1299363,0.19519141,0.16933809,6054.8774,4.2071424,-0.5276499,0.89549816,1
4420807608685878400,Gaia DR3 4420807608685878400,4420807608685878400,0.7372118,0.27632016,0.23465846,5347.214,4.5633607,-0.25624987,0.78045565,1
4420808021002743296,Gaia DR3 4420808021002743296,4420808021002743296,2.1680343,0.2766926,0.23836322,5884.488,4.3721824,-0.5667911,0.80957633,0.8339844
4420808398959864704,Gaia DR3 4420808398959864704,4420808398959864704,0.53118145,0.08191653,0.066473976,3570.1248,4.8031445,-0.19776055,0.45,1
4421425396782926720,Gaia DR3 4421425396782926720,4421425396782926720,1.2657957,0.40089476,0.3322281,4606.271,4.7153406,-0.8061818,0.5746535,0.9980469
4421426152697172224,Gaia DR3 4421426152697172224,4421426152697172224,1.8637426,0.18060319,0.15598412,5866.2065,4.314592,-0.23674472,0.94012254,0.99902344
4421438243028088832,Gaia DR3 4421438243028088832,4421438243028088832,0.5830726,0.04505654,0.036880862,3817.4167,4.679,0.096431136,0.6,1
4421438247325084928,Gaia DR3 4421438247325084928,4421438247325084928,0.8585701,0.32754323,0.27529958,5028.6797,4.574507,-0.055148616,0.7746551,1
4421438311747571968,Gaia DR3 4421438311747571968,4421438311747571968,2.0910256,0.49840087,0.4185791,5192.851,4.614803,-0.55850047,0.69363064,1
4421438380467041408,Gaia DR3 4421438380467041408,4421438380467041408,0.5699642,0.11019507,0.089723654,3707.9114,4.8948226,-0.59072524,0.3832915,1
4421438517906001920,Gaia DR3 4421438517906001920,4421438517906001920,1.3945063,0.28003216,0.23963131,5635.1187,4.5668736,-0.45126802,0.7942225,1
4421438517906007936,Gaia DR3 4421438517906007936,4421438517906007936,1.5040224,0.3623808,0.29995733,4523.745,4.671658,-0.20307289,0.67130667,0.9736328
4421438552265744512,Gaia DR3 4421438552265744512,4421438552265744512,0.9866167,0.49147904,0.4077896,4747.078,4.639031,-0.109614454,0.713,1
4421438552265748864,Gaia DR3 4421438552265748864,4421438552265748864,8.319683,0.36864424,0.3114178,5259.4087,3.511191,-1.454503,0.7819916,0.99902344
4421438586625487744,Gaia DR3 4421438586625487744,4421438586625487744,0.70917374,0.30040428,0.2446913,3910.2092,4.6559577,0.18100283,0.6325541,1
4421439278117243776,Gaia DR3 4421439278117243776,4421439278117243776,1.0375226,0.20974469,0.17649235,4938.7427,4.628401,-0.45186347,0.6725889,1
4421439376899479040,Gaia DR3 4421439376899479040,4421439376899479040,6.0534453,0.25612006,0.22317156,6300.6646,4.2944894,-1.5764229,0.7602235,0.99658203
4421439548698055168,Gaia DR3 4421439548698055168,4421439548698055168,0.3519352,0.3956296,0.34041506,5982.7383,3.97,-0.6893644,0.893,1
4421442915952570240,Gaia DR3 4421442915952570240,4421442915952570240,0.5807274,0.019415136,0.015915211,3839.6091,4.66,0.07931914,0.6,1
4421442954609272704,Gaia DR3 4421442954609272704,4421442954609272704,14.404562,0.1819526,0.15483853,5314.671,2.945,-1.517974,0.7922408,1
4421443740586303232,Gaia DR3 4421443740586303232,4421443740586303232,1.1395164,0.44781628,0.36791232,4354.0527,4.6929026,-0.41254058,0.6,0.9995117
4421443774946041216,Gaia DR3 4421443774946041216,4421443774946041216,3.9955003,0.038931347,0.033899486,6005.1665,4.415,-0.6867808,0.8132619,1
4421444049823964800,Gaia DR3 4421444049823964800,4421444049823964800,0.75573486,0.34562644,0.28092214,3883.8074,4.6529164,0.00050357374,0.6170781,1
4421444805738060672,Gaia DR3 4421444805738060672,4421444805738060672,1.7089047,0.25206843,0.21761727,5936.832,4.2040844,-0.38508308,0.89495087,1
4421444878754567040,Gaia DR3 4421444878754567040,4421444878754567040,3.7950358,0.148618,0.124739334,4781.2354,2.5202034,-0.4997225,0.869,1
4421445046256241792,Gaia DR3 4421445046256241792,4421445046256241792,6.0872126,0.33833975,0.29376066,6263.12,4.0530787,-1.7226095,0.7740691,1
4421445183695208960,Gaia DR3 4421445183695208960,4421445183695208960,5.3100877,0.055179045,0.048437037,6337.9434,4.351,-1.7887658,0.74903935,0.9975586
4421445389853624832,Gaia DR3 4421445389853624832,4421445389853624832,1.883824,0.6004402,0.5009957,5069.4004,4.6188626,-0.10815351,0.7932693,0.9995117
4421445389854285824,Gaia DR3 4421445389854285824,4421445389854285824,1.5783978,-0.012988916,-0.011176755,5497.6226,4.5616326,-0.47615957,0.75,1
4421445565949343872,Gaia DR3 4421445565949343872,4421445565949343872,3.401547,0.10516721,0.09171098,6143.8164,4.377919,-0.9214595,0.8033146,0.99853516
4421445596012056320,Gaia DR3 4421445596012056320,4421445596012056320,0.81782955,0.08863843,0.07236122,3772.7825,4.764,-0.2966534,0.49169204,1
4421445664731534976,Gaia DR3 4421445664731534976,4421445664731534976,0.9824041,0.26552245,0.22217089,4799.319,4.660233,-0.33970714,0.6856531,1
4421445699091279360,Gaia DR3 4421445699091279360,4421445699091279360,0.9858474,0.6948478,0.5772095,5013.9634,4.6749206,-0.9413684,0.6168741,1
4421445767810743808,Gaia DR3 4421445767810743808,4421445767810743808,1.0837376,0.3005702,0.24683179,4185.72,4.65,0.0012786835,0.65,1
4421445767810748672,Gaia DR3 4421445767810748672,4421445767810748672,3.315976,0.29920265,0.25716832,5824.7534,3.9866695,-0.48768663,0.90933955,0.99902344
4421445767810749952,Gaia DR3 4421445767810749952,4421445767810749952,1.5123008,0.08484333,0.07166828,4937.96,4.627901,-0.4529731,0.67255074,0.9995117
4421445840827247232,Gaia DR3 4421445840827247232,4421445840827247232,1.688741,0.26280588,0.22219583,5169.7485,4.589886,-0.2779697,0.74340993,0.9921875
4421445840827247488,Gaia DR3 4421445840827247488,4421445840827247488,3.8525078,0.044287756,0.037780236,5246.3726,3.164058,-0.788881,0.9021972,1
4421446081345416960,Gaia DR3 4421446081345416960,4421446081345416960,0.79548895,0.13282105,0.108199,3746.278,4.712,0.09638681,0.574,1
4421446253144111872,Gaia DR3 4421446253144111872,4421446253144111872,1.5809666,0.19367538,0.16664168,5738.335,4.45463,-0.38299802,0.8271116,1
4421446317566561152,Gaia DR3 4421446317566561152,4421446317566561152,0.75587744,0.33823624,0.2738361,3745.589,4.6704826,0.19660605,0.601,0.99902344
4421446321863785344,Gaia DR3 4421446321863785344,4421446321863785344,1.0778719,0.12200201,0.10601382,6027.385,4.5063343,-0.45501098,0.88542867,1
4421446390583055872,Gaia DR3 4421446390583055872,4421446390583055872,4.9645963,0.23346236,0.19838724,5321.0825,3.1042128,-0.98952895,0.8409493,0.9975586
4421446390583262208,Gaia DR3 4421446390583262208,4421446390583262208,5.843773,0.21177372,0.1840491,6143.6304,4.166981,-0.7443696,0.8680492,1
4421446489365267200,Gaia DR3 4421446489365267200,4421446489365267200,5.0203156,0.2958212,0.25748768,6308.1206,4.291474,-1.4582615,0.76927537,0.99902344
4421446489365270400,Gaia DR3 4421446489365270400,4421446489365270400,33.566433,0.09215003,0.080233485,6067.325,2.64,-2.0582552,0.79,0.98828125
4421446523725006976,Gaia DR3 4421446523725006976,4421446523725006976,1.1562606,0.36411616,0.3009377,4472.8047,4.674023,-0.2191691,0.6497235,0.9951172
4421446558084754560,Gaia DR3 4421446558084754560,4421446558084754560,2.3161492,0.18724239,0.15875815,5187.18,4.632014,-0.64720374,0.6661677,0.9995117
4421446631101225728,Gaia DR3 4421446631101225728,4421446631101225728,3.4510856,0.21472916,0.18617478,6055.392,4.3149424,-0.8690738,0.81439364,1
4421446661163961344,Gaia DR3 4421446661163961344,4421446661163961344,0.8770541,0.466983,0.3797516,4023.4617,4.760067,-0.5910949,0.49596772,1
4421446764243190016,Gaia DR3 4421446764243190016,4421446764243190016,4.459542,0.38302878,0.328113,5797.43,4.097268,-0.5487325,0.8532175,1
4421446798602926464,Gaia DR3 4421446798602926464,4421446798602926464,1.1867101,0.28420526,0.23432022,4304.36,4.7169113,-0.6405988,0.545,1
4421446871619392768,Gaia DR3 4421446871619392768,4421446871619392768,0.44299403,0.36670175,0.3135014,5702.327,4.502584,-0.34300044,0.86643267,1
4421446905979131264,Gaia DR3 4421446905979131264,4421446905979131264,0.3714744,0.10233931,0.08330909,3693.0046,4.7978606,-0.2966534,0.46625474,1
4421446936041881472,Gaia DR3 4421446936041881472,4421446936041881472,4.101502,0.2979548,0.2537611,5478.841,3.8426313,-0.6245267,0.9020489,1
4421447004761361536,Gaia DR3 4421447004761361536,4421447004761361536,0.7831924,0.34840232,0.28210723,3760.4438,4.7700257,-0.2966534,0.4941579,0.953125
4421447107840588800,Gaia DR3 4421447107840588800,4421447107840588800,5.1952214,0.06962716,0.06090798,6220.6436,4.299298,-1.654611,0.781301,0.9980469
4421447180857040256,Gaia DR3 4421447180857040256,4421447180857040256,0.61056787,0.1953663,0.16061868,4115.789,4.5257998,-0.39082944,0.6479365,0.91748047
