source_id,designation,ra,dec,l,b,ref_epoch,parallax,parallax_error,pm,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,ruwe,phot_variable_flag,non_single_star,teff_gspphot,logg_gspphot,distance_gspphot,mh_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,alphafe_gspspec,mh_gspphot_1,fem_gspspec,distance,distance_error,true_distance_modulus,true_distance_modulus_error,ag_starhorse_mean,ag_starhorse_mean_error_std,ag_starhorse_mean_error_cl95,distance_modulus_starhorse,distance_modulus_starhorse_error_std,distance_modulus_starhorse_error_cl95,abs_phot_g_mean_mag,abs_phot_g_mean_mag_error,bcg_mag,bcg_mag_error,mbol_mag,mbol_mag_error,bcg_aprx_flag,Viaux13_Nr,Viaux13_I,fit_delta
4421573448603044864,Gaia DR3 4421573448603044864,229.67913537320212,2.1253632072095963,3.946442561052687,46.792497402697734,2016.0,0.12191614231355924,0.014623685,10.986689,4.16300685071351,-10.167433828728885,11.972626,1.6238518,59.94348,1.1042904,NOT_AVAILABLE,0,4482.677,1.7179,4974.443,-0.2065,0.7969,0.5964,0.3129,31,1.3971205,nan,19.70001199404089,0.18,-0.2065,nan,8.202359269440091,0.9982246322440427,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.586501324555149,0.12507374832603005,-0.18478366082142006,0.0009331399010112928,-2.7712849853765693,0.12507722922417958,False,0.0,nan,0.01949443029241638
4421479204133344128,Gaia DR3 4421479204133344128,229.5778345955803,2.0757610913885087,3.7971662680397915,46.84016986306087,2016.0,0.1293398872804553,0.015522693,10.618062,3.9496015662598123,-9.85615963560442,11.948473,1.629241,52.18006,1.2180943,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,31,1.3969134,nan,19.62460437306741,0.51,nan,nan,7.731566966898935,0.9414623919615089,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.6106543245551492,0.12507374832603005,-0.15301585524167338,0.29095477815417237,-2.7636701797968226,0.37522819884011915,True,0.0,nan,0.026734468616247755
4421572933206856576,Gaia DR3 4421572933206856576,229.645105352212,2.0851985823985815,3.8695956999374617,46.79378346590228,2016.0,0.13899730198265195,0.019054707,10.770389,4.036586047540808,-9.985351251914116,11.948423,1.6090851,nan,1.3905458,NOT_AVAILABLE,0,4631.5103,1.5986,6726.0703,-0.2967,0.9876,0.7436,0.3923,31,1.4035354,nan,19.65207908970346,nan,-0.2967,nan,7.1943842487303,1.0051452252724058,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.610704324555149,0.12507374832603005,-0.13100074744790796,0.00033123978070304094,-2.741705072003057,0.1250741869456501,False,0.0,nan,0.013252117754652834
4421572933206866176,Gaia DR3 4421572933206866176,229.6509580789012,2.086358693853063,3.8762769394803818,46.78995847656293,2016.0,0.12472662167900617,0.019405913,10.641015,4.2312638934608096,-9.763586184440362,11.929609,1.6045523,nan,1.1957681,NOT_AVAILABLE,0,4838.9116,0.9556,18157.46,-0.3986,1.1775,0.8905,0.4699,31,1.3998715,nan,19.65479454679235,nan,-0.3986,nan,8.017534561094577,1.2783750420042466,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.62951832455515,0.12507374832603005,-0.06826941129449594,0.0009454099376092762,-2.697787735849646,0.12507732136671793,False,0.0,nan,0.02048493853554345
4421477928525722368,Gaia DR3 4421477928525722368,229.59430521942733,2.008461423406445,3.735816766161848,46.78505821733395,2016.0,0.07664134942362726,0.015943907,10.742653,3.9441199483374554,-9.99242206767985,12.068349,1.6087255,52.781223,1.1997491,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,31,1.3995779,nan,19.564380846705372,0.45,nan,nan,13.047786965135515,2.837151498622419,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.4907783245551496,0.12507374832603005,-0.14978456913456428,0.29095477815417237,-2.640562893689714,0.37522819884011915,True,0.0,nan,0.039188585155722135
4421572181588298240,Gaia DR3 4421572181588298240,229.65224354284493,2.083338078382609,3.874020139446024,46.7870625040855,2016.0,0.14328603529209,0.01744691,10.670379,3.85176702163449,-9.950923670020044,12.110241,1.5492535,nan,1.2600181,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,31,1.4133506,nan,19.65224036853182,nan,nan,nan,6.9790471762407975,0.8625771057773294,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.448886324555149,0.12507374832603005,-0.1486553603054488,0.29095477815417237,-2.5975416848605977,0.37522819884011915,True,0.0,nan,-0.007843589320586375
4421572142932865024,Gaia DR3 4421572142932865024,229.64004365578188,2.0701941231893537,3.8478993924301204,46.78830065236937,2016.0,0.14276249504821112,0.017448254,10.390454,3.85912327620781,-9.647212519239444,12.096997,1.5547829,nan,1.3323591,NOT_AVAILABLE,0,4639.822,1.8523,4553.209,-0.3177,0.8586,0.6504,0.3438,31,1.4098125,nan,19.63626325658424,nan,-0.3177,nan,7.004640817340006,0.8690802801171744,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.462130324555149,0.12507374832603005,-0.1287185768735601,0.0007317273558508086,-2.5908489014287093,0.1250758887445794,False,0.0,nan,-0.0008415519066845932
4421573070645750400,Gaia DR3 4421573070645750400,229.6079800213599,2.0854206242271855,3.8358140337988966,46.822799104126055,2016.0,0.12219257170912734,0.014616883,10.780586,4.061308445938228,-9.98633114888392,12.134618,1.5529022,62.20058,1.2153928,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,31,1.4080184,nan,19.64214207803162,0.09,nan,nan,8.183803532512965,0.9931721290356474,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.4245093245551494,0.12507374832603005,-0.14799827246941,0.29095477815417237,-2.5725075970245594,0.37522819884011915,True,0.0,nan,0.0021664518515410033
4421477829743733248,Gaia DR3 4421477829743733248,229.64604633842592,2.0185408486744096,3.79472471010438,46.75118522130327,2016.0,0.10377125846427301,0.015681453,10.469712,4.029296751684965,-9.663314304476982,12.17056,1.560524,40.80216,1.161603,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,31,1.407017,nan,19.588218928753772,0.17,nan,nan,9.636579673400473,1.4902688971984706,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.388567324555149,0.12507374832603005,-0.14702944730622702,0.29095477815417237,-2.535596771861376,0.37522819884011915,True,0.0,nan,0.018193187242627248
4421477894170193280,Gaia DR3 4421477894170193280,229.63430245333515,2.0261052792417487,3.792546813382547,46.76506835978072,2016.0,0.13719069138676546,0.017689407,10.3923235,3.8936119276065067,-9.635360376593153,12.178771,1.5716324,48.361782,1.1704623,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,31,1.4052721,nan,19.592286076791353,0.47,nan,nan,7.289124283081412,0.9557517137955369,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.38035632455515,0.12507374832603005,-0.14680811784724046,0.29095477815417237,-2.5271644424023902,0.37522819884011915,True,0.0,nan,0.031022232792213396
