source_id,solution_id,ra,dec,wavelength,flux,flux_error
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,492.0,2.9921463E-16,5.643052E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,494.0,3.3931383E-16,5.912449E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,496.0,3.80791E-16,6.1421516E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,498.0,4.1930931E-16,6.237531E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,500.0,4.505376E-16,6.2516835E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,502.0,4.696074E-16,6.290942E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,504.0,4.769589E-16,6.440115E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,506.0,4.709801E-16,6.610719E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,508.0,4.53201E-16,6.7120505E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,510.0,4.2599047E-16,6.735168E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,512.0,3.9170552E-16,6.75416E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,514.0,3.5413463E-16,6.866436E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,516.0,3.1692405E-16,7.075839E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,518.0,2.8357922E-16,7.292813E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,520.0,2.5697566E-16,7.414064E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,522.0,2.4078905E-16,7.4534936E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,524.0,2.366114E-16,7.4818625E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,526.0,2.4489223E-16,7.592935E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,528.0,2.655336E-16,7.8409555E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,530.0,2.9689108E-16,8.174127E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,532.0,3.354244E-16,8.475303E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,534.0,3.7803676E-16,8.697502E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,536.0,4.2144813E-16,8.8699954E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,538.0,4.6096804E-16,9.050321E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,540.0,4.9278625E-16,9.311395E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,542.0,5.154294E-16,9.694529E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,544.0,5.2782085E-16,1.0151255E-16
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,546.0,5.2820355E-16,1.0560813E-16
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,548.0,5.1945037E-16,1.08917624E-16
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,550.0,5.0404945E-16,1.1150338E-16
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,552.0,4.85444E-16,1.141538E-16
